1,Louisiana State
2,Alabama
3,Oklahoma State
4,Stanford
5,Oregon
6,Arkansas
7,Boise State
8,Kansas State
9,South Carolina
10,Wisconsin
11,Virginia Tech
12,Baylor
13,Michigan
14,Oklahoma
15,Clemson
16,Georgia
17,Michigan State
18,Texas Christian
19,Houston
20,Nebraska
21,Southern Miss
22,Penn State
23,West Virginia
24,Texas
25,Auburn
